classes,features,functions,file
Windows,form,get_win_folder_from_env_vars|get_win_folder_if_csidl_name_not_env_var|get_win_folder_from_registry|get_win_folder_via_ctypes|_pick_get_win_folder|user_data_dir|_append_parts|site_data_dir|user_config_dir|site_config_dir|user_cache_dir|site_cache_dir|user_state_dir|user_log_dir|user_documents_dir|user_downloads_dir|user_pictures_dir|user_videos_dir|user_music_dir|user_desktop_dir|user_runtime_dir|site_runtime_dir,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py
,form,_set_platform_dir_class|user_data_dir|site_data_dir|user_config_dir|site_config_dir|user_cache_dir|site_cache_dir|user_state_dir|user_log_dir|user_documents_dir|user_downloads_dir|user_pictures_dir|user_videos_dir|user_music_dir|user_desktop_dir|user_runtime_dir|site_runtime_dir|user_data_path|site_data_path|user_config_path|site_config_path|site_cache_path|user_cache_path|user_state_path|user_log_path|user_documents_path|user_downloads_path|user_pictures_path|user_videos_path|user_music_path|user_desktop_path|user_runtime_path|site_runtime_path,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py
,form,main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__main__.py
HelpFormatter,form,_parse_options|_parse_filters|_print_help|_print_list|_print_list_as_json|main_inner|main|is_only_option|__init__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py
,form,reset_color|colorize|ansiformat,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\console.py
Formatter,form,_lookup_style|__init__|get_style_defs|format|__class_getitem__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatter.py
LexerMeta|Lexer|DelegatingLexer|include|_inherit|combined|_PseudoMatch|_This|default|words|RegexLexerMeta|RegexLexer|LexerContext|ExtendedRegexLexer|ProfilingRegexLexerMeta|ProfilingRegexLexer,form|transform,bygroups|using|do_insertions|__new__|__init__|__repr__|add_filter|analyse_text|_preprocess_lexer_input|get_tokens|get_tokens_unprocessed|__init__|get_tokens_unprocessed|__repr__|__new__|__init__|__init__|start|end|group|groups|groupdict|callback|__init__|__init__|get|_process_regex|_process_token|_process_new_state|_process_state|process_tokendef|get_tokendefs|__call__|get_tokens_unprocessed|__init__|__repr__|get_tokens_unprocessed|_process_regex|get_tokens_unprocessed|streamer|callback|callback|match_func,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
,form|recent,iter_entry_points|find_plugin_lexers|find_plugin_formatters|find_plugin_styles|find_plugin_filters,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py
,rest,make_charset|regex_opt_inner|regex_opt,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\regexopt.py
PygmentsDoc,form,setup|run|document_lexers_overview|document_lexers|document_formatters|document_filters|format_link|write_row|write_seperator,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py
StyleMeta|Style,form,__new__|style_for_token|list_styles|styles_token|__iter__|__len__|colorformat,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\style.py
_TokenType,form,is_token_subtype|string_to_tokentype|split|__init__|__contains__|__getattr__|__repr__|__copy__|__deepcopy__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\token.py
ClassNotFound|OptionError|Future|UnclosingTextIOWrapper,form|rest,get_choice_opt|get_bool_opt|get_int_opt|get_list_opt|docstring_headline|make_analysator|shebang_matches|doctype_matches|html_doctype_matches|looks_like_xml|surrogatepair|format_lines|duplicates_removed|guess_decode|guess_decode_from_terminal|terminal_encoding|text_analyse|get|close,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\util.py
,form|rest,lex|format|highlight,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__init__.py
CodeTagFilter|SymbolFilter|KeywordCaseFilter|NameHighlightFilter|ErrorToken|RaiseOnErrorTokenFilter|VisibleWhitespaceFilter|GobbleFilter|TokenMergeFilter,form|rest,find_filter_class|get_filter_by_name|get_all_filters|_replace_special|__init__|filter|__init__|filter|__init__|filter|__init__|filter|__init__|filter|__init__|filter|__init__|gobble|filter|__init__|filter|replacefunc,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py
BBCodeFormatter,form,__init__|_make_styles|format_unencoded,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\bbcode.py
GroffFormatter,form,__init__|_make_styles|_define_colors|_write_lineno|_wrap_line|_escape_chars|format_unencoded,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\groff.py
HtmlFormatter,feature|form|rest,escape_html|webify|_get_ttype_class|__init__|_get_css_class|_get_css_classes|_get_css_inline_styles|_create_stylesheet|get_style_defs|get_token_style_defs|get_background_style_defs|get_linenos_style_defs|get_css_prefix|_pre_style|_linenos_style|_linenos_special_style|_decodeifneeded|_wrap_full|_wrap_tablelinenos|_wrap_inlinelinenos|_wrap_lineanchors|_wrap_linespans|_wrap_div|_wrap_pre|_wrap_code|_translate_parts|_format_lines|_lookup_ctag|_highlight_lines|wrap|format_unencoded|prefix,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
PilNotAvailable|FontNotFound|FontManager|ImageFormatter|GifImageFormatter|JpgImageFormatter|BmpImageFormatter,form,__init__|_get_nix_font_path|_create_nix|_get_mac_font_path|_create_mac|_lookup_win|_create_win|get_char_size|get_text_size|get_font|get_style|__init__|get_style_defs|_get_line_height|_get_line_y|_get_char_width|_get_char_x|_get_text_pos|_get_linenumber_pos|_get_text_color|_get_text_bg_color|_get_style_font|_get_image_size|_draw_linenumber|_draw_text|_create_drawables|_draw_line_numbers|_paint_line_number_bg|format,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py
IRCFormatter,form,ircformat|__init__|_write_lineno|format_unencoded,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\irc.py
LatexFormatter|LatexEmbeddedLexer,form|previous,escape_tex|_get_ttype_name|__init__|_create_stylesheet|get_style_defs|format_unencoded|__init__|get_tokens_unprocessed|_find_safe_escape_tokens|_filter_to|_find_escape_tokens|rgbcolor,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
NullFormatter|RawTokenFormatter|TestcaseFormatter,form,format|__init__|format|__init__|format|write|flush,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\other.py
PangoMarkupFormatter,form,escape_special_chars|__init__|format_unencoded,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\pangomarkup.py
RtfFormatter,form,__init__|_escape|_escape_text|hex_to_rtf_color|_split_tokens_on_newlines|_create_color_mapping|_lineno_template|_hl_open_str|_rtf_header|format_unencoded,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\rtf.py
SvgFormatter,form,escape_html|__init__|format_unencoded|_get_style,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\svg.py
TerminalFormatter,form,__init__|format|_write_lineno|_get_color|format_unencoded,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal.py
EscapeSequence|Terminal256Formatter|TerminalTrueColorFormatter,form|rest,__init__|escape|color_string|true_color_string|reset_string|__init__|_build_color_table|_closest_color|_color_index|_setup_styles|_write_lineno|format|format_unencoded|_build_color_table|_color_tuple|_setup_styles,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py
,form,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py
_automodule,form,_fn_matches|_load_formatters|get_all_formatters|find_formatter_class|get_formatter_by_name|load_formatter_from_file|get_formatter_for_filename|__getattr__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py
PythonLexer|Python2Lexer|_PythonConsoleLexerBase|PythonConsoleLexer|PythonTracebackLexer|Python2TracebackLexer|CythonLexer|DgLexer|NumPyLexer|_ReplaceInnerCode,form|power|rank|recent|rest,innerstring_rules|fstring_rules|analyse_text|innerstring_rules|analyse_text|__init__|get_tokens_unprocessed|analyse_text|__init__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py
,feature|form|history|power|rest,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py
_automodule,form|rating,_fn_matches|_load_lexers|get_all_lexers|find_lexer_class|find_lexer_class_by_name|get_lexer_by_name|load_lexer_from_file|find_lexer_class_for_filename|get_lexer_for_filename|get_lexer_for_mimetype|_iter_lexerclasses|guess_lexer_for_filename|guess_lexer|get_rating|type_sort|__getattr__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py
BackendUnavailable|HookMissing|UnsupportedOperation|BuildBackendHookCaller|SubprocessRunner,feature|features|previous,write_json|read_json|default_subprocess_runner|quiet_subprocess_runner|norm_and_check|__init__|__init__|__init__|__init__|subprocess_runner|_supported_features|get_requires_for_build_wheel|prepare_metadata_for_build_wheel|build_wheel|get_requires_for_build_editable|prepare_metadata_for_build_editable|build_editable|get_requires_for_build_sdist|build_sdist|_call_hook|__call__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py
,previous,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__init__.py
BackendUnavailable|HookMissing|_BackendPathFinder|_DummyException|GotUnsupportedOperation,feature|features|form,write_json|read_json|_build_backend|_supported_features|get_requires_for_build_wheel|get_requires_for_build_editable|prepare_metadata_for_build_wheel|prepare_metadata_for_build_editable|_dist_info_files|_get_wheel_metadata_from_wheel|_find_already_built_wheel|build_wheel|build_editable|get_requires_for_build_sdist|build_sdist|main|__init__|__init__|__init__|find_spec|__init__|find_distributions,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\_in_process.py
BaseAdapter|HTTPAdapter,form,_urllib3_request_context|__init__|send|close|__init__|__getstate__|__setstate__|init_poolmanager|proxy_manager_for|cert_verify|build_response|build_connection_pool_key_attributes|get_connection_with_tls_context|get_connection|close|request_url|add_headers|proxy_headers|send|SOCKSProxyManager,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\adapters.py
AuthBase|HTTPBasicAuth|HTTPProxyAuth|HTTPDigestAuth,form|history|previous,_basic_auth_str|__call__|__init__|__eq__|__ne__|__call__|__call__|__init__|init_per_thread_state|build_digest_header|handle_redirect|handle_401|__call__|__eq__|__ne__|md5_utf8|sha_utf8|sha256_utf8|sha512_utf8,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\auth.py
,previous,_resolve_char_detection,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\compat.py
MockRequest|MockResponse|CookieConflictError|RequestsCookieJar,rest,extract_cookies_to_jar|get_cookie_header|remove_cookie_by_name|_copy_cookie_jar|create_cookie|morsel_to_cookie|cookiejar_from_dict|merge_cookies|__init__|get_type|get_host|get_origin_req_host|get_full_url|is_unverifiable|has_header|get_header|add_header|add_unredirected_header|get_new_headers|unverifiable|origin_req_host|host|__init__|info|getheaders|get|set|iterkeys|keys|itervalues|values|iteritems|items|list_domains|list_paths|multiple_domains|get_dict|__contains__|__getitem__|__setitem__|__delitem__|set_cookie|update|_find|_find_no_duplicates|__getstate__|__setstate__|copy|get_policy,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\cookies.py
,form,_implementation|info|main,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\help.py
RequestEncodingMixin|RequestHooksMixin|Request|PreparedRequest|Response,form|history|power|previous|rating|recent,path_url|_encode_params|_encode_files|register_hook|deregister_hook|__init__|__repr__|prepare|__init__|prepare|__repr__|copy|prepare_method|_get_idna_encoded_host|prepare_url|prepare_headers|prepare_body|prepare_content_length|prepare_auth|prepare_cookies|prepare_hooks|__init__|__enter__|__exit__|__getstate__|__setstate__|__repr__|__bool__|__nonzero__|__iter__|ok|is_redirect|is_permanent_redirect|next|apparent_encoding|iter_content|iter_lines|content|text|json|links|raise_for_status|close|generate,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\models.py
SessionRedirectMixin|Session,form|history|previous,merge_setting|merge_hooks|session|get_redirect_target|should_strip_auth|resolve_redirects|rebuild_auth|rebuild_proxies|rebuild_method|__init__|__enter__|__exit__|prepare_request|request|get|options|head|post|put|patch|delete|send|merge_environment_settings|get_adapter|close|mount|__getstate__|__setstate__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\sessions.py
,form,_init|doc,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\status_codes.py
CaseInsensitiveDict|LookupDict,power,__init__|__setitem__|__getitem__|__delitem__|__iter__|__len__|lower_items|__eq__|copy|__repr__|__init__|__repr__|__getitem__|get,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\structures.py
,form|previous|recent|rest,dict_to_sequence|super_len|get_netrc_auth|guess_filename|extract_zipped_paths|atomic_open|from_key_val_list|to_key_val_list|parse_list_header|parse_dict_header|unquote_header_value|dict_from_cookiejar|add_dict_to_cookiejar|get_encodings_from_content|_parse_content_type_header|get_encoding_from_headers|stream_decode_response_unicode|iter_slices|get_unicode_from_response|unquote_unreserved|requote_uri|address_in_network|dotted_netmask|is_ipv4_address|is_valid_cidr|set_environ|should_bypass_proxies|get_environ_proxies|select_proxy|resolve_proxies|default_user_agent|default_headers|parse_header_links|guess_json_utf|prepend_scheme_if_needed|get_auth_from_url|check_header_validity|_validate_header_part|urldefragauth|rewind_body|proxy_bypass_registry|proxy_bypass|get_proxy,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\utils.py
,form,check_compatibility|_check_cryptography,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\__init__.py
AbstractProvider|AbstractResolver,form|recent,identify|get_preference|find_matches|is_satisfied_by|get_dependencies|__init__|resolve,E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\providers.py
BaseReporter,form,starting|starting_round|ending_round|ending|adding_requirement|resolving_conflicts|rejecting_candidate|pinning,E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\reporters.py
ResolverException|RequirementsConflicted|InconsistentCandidate|Criterion|ResolutionError|ResolutionImpossible|ResolutionTooDeep|Resolution|Resolver,form|history|previous,_has_route_to_root|_build_result|__init__|__str__|__init__|__str__|__init__|__repr__|iter_requirement|iter_parent|__init__|__init__|__init__|state|_push_new_state|_add_to_criteria|_remove_information_from_criteria|_get_preference|_is_current_pin_satisfying|_get_updated_criteria|_attempt_to_pin_criterion|_backjump|resolve|resolve|_patch_criteria,E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\resolvers.py
DirectedGraph|IteratorMapping|_FactoryIterableView|_SequenceIterableView,form,build_iter_view|__init__|__iter__|__len__|__contains__|copy|add|remove|connected|connect|iter_edges|iter_children|iter_parents|__init__|__repr__|__bool__|__contains__|__getitem__|__iter__|__len__|__init__|__repr__|__bool__|__iter__|__init__|__repr__|__bool__|__iter__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\resolvelib\structs.py
Align|VerticalCenter,rest,__init__|__repr__|left|center|right|__rich_console__|__rich_measure__|__init__|__repr__|__rich_console__|__rich_measure__|generate_segments|blank_lines|blank_lines,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\align.py
_AnsiToken|AnsiDecoder,form,_ansi_tokenize|__init__|decode|decode_line|read,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\ansi.py
Box,form,__init__|__repr__|__str__|substitute|get_plain_headed_box|get_top|get_row|get_bottom,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\box.py
ColorSystem|ColorType|ColorParseError|Color,form,parse_rgb_hex|blend_rgb|__repr__|__str__|__repr__|__rich__|__rich_repr__|system|is_system_defined|is_default|get_truecolor|from_ansi|from_triplet|from_rgb|default|parse|get_ansi_codes|downgrade,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\color.py
ColorTriplet,form,hex|rgb|normalized,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\color_triplet.py
NoChange|ConsoleDimensions|ConsoleOptions|RichCast|ConsoleRenderable|CaptureError|NewLine|ScreenUpdate|Capture|ThemeContext|PagerContext|ScreenContext|Group|ConsoleThreadLocals|RenderHook|Console,feature|features|form|history|previous|rest|transform|trend,group|_is_jupyter|get_windows_console_features|detect_legacy_windows|_svg_hash|ascii_only|copy|update|update_width|update_height|reset_height|update_dimensions|__rich__|__rich_console__|__init__|__rich_console__|__init__|__rich_console__|__init__|__enter__|__exit__|get|__init__|__enter__|__exit__|__init__|__enter__|__exit__|__init__|update|__enter__|__exit__|__init__|renderables|__rich_measure__|__rich_console__|decorator|process_renderables|__init__|__repr__|file|file|_buffer|_buffer_index|_buffer_index|_theme_stack|_detect_color_system|_enter_buffer|_exit_buffer|set_live|clear_live|push_render_hook|pop_render_hook|__enter__|__exit__|begin_capture|end_capture|push_theme|pop_theme|use_theme|color_system|encoding|is_terminal|is_dumb_terminal|options|size|size|width|width|height|height|bell|capture|pager|line|clear|status|show_cursor|set_alt_screen|is_alt_screen|set_window_title|screen|measure|render|render_lines|render_str|get_style|_collect_renderables|rule|control|out|print|print_json|update_screen|update_screen_lines|print_exception|_caller_frame_info|log|on_broken_pipe|_check_buffer|_write_buffer|_render_buffer|input|export_text|save_text|export_html|save_html|export_svg|save_svg|_replace|check_text|get_svg_style|escape_text|make_tag|align_append|stringify,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\console.py
Control,form,strip_control_codes|escape_control_codes|__init__|bell|home|move|move_to_column|move_to|clear|show_cursor|alt_screen|title|__str__|__rich_console__|get_codes,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\control.py
,feature|features|form,report,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\diagnose.py
ConsoleError|StyleError|StyleSyntaxError|MissingStyle|StyleStackError|NotRenderableError|MarkupError|LiveError|NoAltScreen,form|trend,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\errors.py
,form|power,_to_str|pick_unit_and_suffix|decimal,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\filesize.py
JupyterRenderable|JupyterMixin,form,_render_segments|display|print|__init__|_repr_mimebundle_|_repr_mimebundle_|escape,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\jupyter.py
LayoutRender|LayoutError|NoSplitter|_Placeholder|Splitter|RowSplitter|ColumnSplitter|Layout,trend,__init__|__rich_console__|get_tree_icon|divide|get_tree_icon|divide|get_tree_icon|divide|__init__|__rich_repr__|renderable|children|map|get|__getitem__|tree|split|add_split|split_row|split_column|unsplit|update|refresh_screen|_make_region_map|render|__rich_console__|summary|recurse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\layout.py
_RefreshThread|Live,previous|rest,__init__|stop|run|__init__|is_started|get_renderable|start|stop|__enter__|__exit__|_enable_redirect_io|_disable_redirect_io|renderable|update|refresh|process_renderables,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\live.py
LiveRender,previous|rest,__init__|set_renderable|position_cursor|restore_cursor|__rich_console__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\live_render.py
RichHandler,form,__init__|get_level_text|emit|render_message|render|divide,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\logging.py
Tag,rest,escape|_parse|render|__str__|markup|escape_backslashes|pop_style,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\markup.py
Measurement,trend,measure_renderables|span|normalize|with_maximum|with_minimum|clamp|get,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\measure.py
Pretty|Node|_Line|BrokenRepr|StockKeepingUnit|Thing|RichFormatter,form,_is_attr_object|_get_attr_fields|_is_dataclass_repr|_has_default_namedtuple_repr|_ipy_display_hook|_safe_isinstance|install|_get_braces_for_defaultdict|_get_braces_for_deque|_get_braces_for_array|is_expandable|_is_namedtuple|traverse|pretty_repr|pprint|display_hook|__init__|__rich_console__|__rich_measure__|iter_tokens|check_length|__str__|render|expandable|check_length|expand|__str__|to_repr|_traverse|iter_rich_args|__repr__|__repr__|__call__|iter_attrs,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\pretty.py
_TrackThread|_Reader|_ReadContext|ProgressColumn|RenderableColumn|SpinnerColumn|TextColumn|BarColumn|TimeElapsedColumn|TaskProgressColumn|TimeRemainingColumn|FileSizeColumn|TotalFileSizeColumn|MofNCompleteColumn|DownloadColumn|TransferSpeedColumn|ProgressSample|Task|Progress,form|power|previous|rating,track|wrap_file|open|open|open|__init__|run|__enter__|__exit__|__init__|__enter__|__exit__|__iter__|__next__|closed|fileno|isatty|mode|name|readable|seekable|writable|read|readinto|readline|readlines|close|seek|tell|write|writelines|__init__|__enter__|__exit__|__init__|get_table_column|__call__|render|__init__|render|__init__|set_spinner|render|__init__|render|__init__|render|render|__init__|render_speed|render|__init__|render|render|render|__init__|render|__init__|render|render|get_time|started|remaining|elapsed|finished|percentage|speed|time_remaining|_reset|__init__|get_default_columns|console|tasks|task_ids|finished|start|stop|__enter__|__exit__|track|wrap_file|open|open|open|start_task|stop_task|update|reset|advance|refresh|get_renderable|get_renderables|make_tasks_table|__rich__|add_task|remove_task,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\progress.py
ControlType|Segment|Segments|SegmentLines,form|rating,cell_length|__rich_repr__|__bool__|is_control|_split_cells|split_cells|line|apply_style|filter_control|split_lines|split_and_crop_lines|adjust_line_length|get_line_length|get_shape|set_shape|align_top|align_bottom|align_middle|simplify|strip_links|strip_styles|remove_color|divide|__init__|__rich_console__|__init__|__rich_console__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\segment.py
_Bit|Style|StyleStack,form,__init__|__get__|__init__|null|from_color|from_meta|on|link_id|__str__|__bool__|_make_ansi_codes|normalize|pick_first|__rich_repr__|__eq__|__ne__|__hash__|color|bgcolor|link|transparent_background|background_style|meta|without_color|parse|get_html_style|combine|chain|copy|clear_meta_and_links|update_link|render|test|_add|__add__|__init__|__repr__|current|push|pop|_make_color,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\style.py
SyntaxTheme|PygmentsSyntaxTheme|ANSISyntaxTheme|_SyntaxHighlightRange|Syntax,form,_get_code_index_for_syntax_position|get_style_for_token|get_background_style|__init__|get_style_for_token|get_background_style|__init__|get_style_for_token|get_background_style|get_theme|__init__|from_path|guess_lexer|_get_base_style|_get_token_color|lexer|default_lexer|highlight|stylize_range|_get_line_numbers_color|_numbers_column_width|_get_number_styles|__rich_measure__|__rich_console__|_get_syntax|_apply_stylized_ranges|_process_code|line_tokenize|tokens_to_spans,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\syntax.py
Column|Row|_Cell|Table,form|trend,copy|cells|flexible|__init__|grid|expand|expand|_extra_width|row_count|get_row_style|__rich_measure__|padding|padding|add_column|add_row|add_section|__rich_console__|_calculate_column_widths|_collapse_widths|_get_cells|_get_padding_width|_measure_column|_render|add_cell|render_annotation|get_padding|header|align_cell,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\table.py
Span|Text,form,__repr__|__bool__|split|move|right_crop|extend|__init__|__len__|__bool__|__str__|__repr__|__add__|__eq__|__contains__|__getitem__|cell_len|markup|from_markup|from_ansi|styled|assemble|plain|plain|spans|spans|blank_copy|copy|stylize|stylize_before|apply_meta|on|remove_suffix|get_style_at_offset|extend_style|highlight_regex|highlight_words|rstrip|rstrip_end|set_length|__rich_console__|__rich_measure__|render|join|expand_tabs|truncate|_trim_spans|pad|pad_left|pad_right|align|append|append_text|append_tokens|copy_styles|split|divide|right_crop|wrap|fit|detect_indentation|with_indent_guides|get_text_at|get_current_style|iter_text|flatten_spans,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\text.py
Theme|ThemeStackError|ThemeStack,form,__init__|config|from_file|read|__init__|push_theme|pop_theme,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\theme.py
Frame|_SyntaxError|Stack|Trace|PathHighlighter|Traceback,feature|features|form|previous|recent,install|excepthook|ipy_excepthook_closure|__init__|from_exception|extract|__rich_console__|_render_syntax_error|_guess_lexer|_render_stack|bar|foo|error|ipy_show_traceback|ipy_display_traceback|safe_str|read_code|render_locals|get_locals,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\traceback.py
,form|rest|strength|trend,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_emoji_codes.py
,rest,_emoji_replace|do_replace,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_emoji_replace.py
,form|transform,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_export_format.py
Inspect,form,_first_paragraph|get_object_types_mro|get_object_types_mro_as_strings|is_object_one_of_types|__init__|_make_title|__rich__|_get_signature|_render|_get_formatted_doc|sort_items|safe_getattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_inspect.py
LogRender,form,__init__|__call__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_log_render.py
,previous,loop_first|loop_last|loop_first_last,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_loop.py
,fitness|rest,,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_spinners.py
LegacyWindowsError|WindowsCoordinates|CONSOLE_SCREEN_BUFFER_INFO|CONSOLE_CURSOR_INFO|LegacyWindowsTerm,form|previous|rest,GetStdHandle|GetConsoleMode|FillConsoleOutputCharacter|FillConsoleOutputAttribute|SetConsoleTextAttribute|GetConsoleScreenBufferInfo|SetConsoleCursorPosition|GetConsoleCursorInfo|SetConsoleCursorInfo|SetConsoleTitle|from_param|__init__|cursor_position|screen_size|write_text|write_styled|move_cursor_to|erase_line|erase_end_of_line|erase_start_of_line|move_cursor_up|move_cursor_down|move_cursor_forward|move_cursor_to_column|move_cursor_backward|hide_cursor|show_cursor|set_title|_get_cursor_size,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_win32_console.py
WindowsConsoleFeatures,feature|features|form,get_windows_console_features|get_windows_console_features,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\_windows.py
,feature|features|form,get_console|reconfigure|print|print_json|inspect,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\__init__.py
ColorBox,feature|features|form|previous,make_test_card|__rich_console__|__rich_measure__|comparison,E:\football_v\.venv\Lib\site-packages\pip\_vendor\rich\__main__.py
DEPRECATED_DEFAULT|TOMLDecodeError|Flags|NestedDict|Output,form,load|loads|skip_chars|skip_until|skip_comment|skip_comments_and_array_ws|create_dict_rule|create_list_rule|key_value_rule|parse_key_value_pair|parse_key|parse_key_part|parse_one_line_basic_str|parse_array|parse_inline_table|parse_basic_str_escape|parse_basic_str_escape_multiline|parse_hex_char|parse_literal_str|parse_multiline_str|parse_basic_str|parse_value|is_unicode_scalar_value|make_safe_parse_float|__init__|__init__|add_pending|finalize_pending|unset_all|set|is_|__init__|get_or_create_nest|append_nest_to_list|safe_parse_float,E:\football_v\.venv\Lib\site-packages\pip\_vendor\tomli\_parser.py
SSLContext|TruststoreSSLObject,form|rest,inject_into_ssl|extract_from_ssl|_verify_peercerts|__class__|__init__|wrap_socket|wrap_bio|load_verify_locations|load_cert_chain|load_default_certs|set_alpn_protocols|set_npn_protocols|set_ciphers|get_ciphers|session_stats|cert_store_stats|set_default_verify_paths|get_ca_certs|get_ca_certs|get_ca_certs|get_ca_certs|check_hostname|check_hostname|hostname_checks_common_name|hostname_checks_common_name|keylog_filename|keylog_filename|maximum_version|maximum_version|minimum_version|minimum_version|options|options|post_handshake_auth|post_handshake_auth|protocol|security_level|verify_flags|verify_flags|verify_mode|verify_mode|_get_unverified_chain_bytes|_get_unverified_chain_bytes|do_handshake,E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\_api.py
